URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
https://www.cubacounterpoints.com,32,www.cubacounterpoints.com,25,0,com,100.0,1.0,0.5229071,0.063917712,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,487,5568,1,cubaunterpoints,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,23,16,24,0,0,44,1
https://www.amkweddingphotography.com,36,www.amkweddingphotography.com,29,0,com,100.0,1.0,0.5229071,0.051613405,3,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,1,349,2566,1,amkweddingphotography,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,15,8,13,28,0,31,1
https://www.savoryonline.com,27,www.savoryonline.com,20,0,com,100.0,1.0,0.5229071,0.065325036,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,2938,8047,1,savoryonline,100.0,100.0,1,1,1,0,0,1,0,3,1,1,1,1,0,0,0,0,1,132,3,4,164,0,155,1
https://www.pushwoosh.com,24,www.pushwoosh.com,17,0,com,100.0,1.0,0.5229071,0.055144393,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,2685,12698,1,pushwoosh,100.0,100.0,1,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,1,25,3,10,75,0,17,1
https://www.eatseehear.com,25,www.eatseehear.com,18,0,com,100.0,1.0,0.5229071,0.074419176,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,6075,46415,1,eatseehear,100.0,100.0,1,1,1,0,0,1,3,3,0,1,1,1,0,0,1,0,1,51,23,53,62,6,74,1
https://www.scilifelab.se,24,www.scilifelab.se,17,0,se,100.0,1.0,0.0040185,0.054998147,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1614,21678,1,cilifelab,90.0,90.0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,23,30,57,106,0,101,1
http://www.biyan.urlfb.co,24,www.biyan.urlfb.co,18,0,co,67.11111111,0.545454545,0.0059772,0.04417847,2,2,0,0,0.0,11,0.458,0,0.0,0,0,0,2,0.083,0,8,41,1,biyanurlfb,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.municipalite.ange-gardien.qc.ca,42,www.municipalite.ange-gardien.qc.ca,35,0,ca,100.0,0.464285714,0.0101825,0.058623864,2,3,0,0,0.0,26,0.619,0,0.0,0,0,0,4,0.095,1,1176,323,1,muniipaliteange-gardienq,0.0,0.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,8,2,6,188,0,146,1
https://www.meisenbach.de,24,www.meisenbach.de,17,0,de,100.0,1.0,0.0326503,0.058945491,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,333,324,1,meisenbach,100.0,100.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13,11,3,24,6,15,1
https://www.gigalixir.com,24,www.gigalixir.com,17,0,com,100.0,1.0,0.5229071,0.055609972,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,556,448,1,gigalixir,100.0,100.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,29,5,10,15,0,10,1
http://www.ne666an.xyz,22,www.ne666an.xyz,15,0,xyz,62.25895317,0.714285714,0.0017496,0.03105017,3,1,0,0,0.0,7,0.318,3,0.136,0,0,0,1,0.045,0,2,31,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.jonathandove.com,27,www.jonathandove.com,20,0,com,100.0,1.0,0.5229071,0.06238209,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,821,1639,1,jonathandove,100.0,100.0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,1,0,0,9,15,14,34,1,7,1
https://www.paperapp.ru,22,www.paperapp.ru,15,0,ru,100.0,1.0,0.0180132,0.052959047,2,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,501,714,1,papeapp,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,7,9,31,0,37,1
